Player,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,Career,NBA,256.0,53.0,12.5,2.4,4.8,0.502,0.0,0.0,0.0,2.4,4.8,0.503,0.502,0.9,1.3,0.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7
Zaid Abdul-Aziz,Career,NBA,505.0,,21.8,3.5,8.2,0.428,,,,,,,,2.0,2.8,0.728,2.4,5.4,8.0,1.2,0.6,1.0,0.9,2.2,9.0
Kareem Abdul-Jabbar,Career,NBA,1560.0,625.0,36.8,10.2,18.1,0.5589999999999999,0.0,0.0,0.055999999999999994,10.2,18.1,0.56,0.5589999999999999,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6
Mahmoud Abdul-Rauf,Career,NBA,586,336,26.7,6.0,13.6,.442,0.8,2.3,.354,5.2,11.3,.460,.472,1.8,2.0,.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6
Tariq Abdul-Wahad,Career,NBA,236.0,145.0,20.4,3.1,7.3,0.41700000000000004,0.1,0.3,0.237,3.0,7.0,0.425,0.42200000000000004,1.6,2.2,0.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8
Shareef Abdur-Rahim,Career,NBA,830.0,704.0,34.8,6.5,13.9,0.47200000000000003,0.2,0.6,0.297,6.4,13.2,0.48,0.479,4.8,6.0,0.81,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1
Tom Abernethy,Career,NBA,319.0,,17.0,2.3,4.6,0.49200000000000005,0.0,0.0,0.0,2.3,4.6,0.493,0.49200000000000005,1.0,1.4,0.747,1.2,2.0,3.2,1.2,0.6,0.2,0.5,1.6,5.6
Forest Able,Career,NBA,1,,1.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,,1.0,1.0,,,,1.0,0.0
John Abramovic,Career,BAA,56.0,,,3.6,15.3,0.237,,,,,,,,2.3,3.3,0.6859999999999999,,,,0.7,,,,3.1,9.5
Álex Abrines,Career,NBA,174,16,16.0,1.8,4.5,0.387,1.3,3.4,0.368,0.5,1.1,0.44299999999999995,0.525,0.5,0.6,0.88,0.3,1.1,1.4,0.5,0.5,0.1,0.4,1.7,5.3
Precious Achiuwa,Career,NBA,46,2,12.7,2.1,3.8,0.56,0.0,0.0,,2.1,3.8,0.56,0.56,1.0,2.0,0.5,1.3,2.4,3.6,0.5,0.3,0.5,0.8,1.6,5.3
Alex Acker,Career,NBA,30,0,7.8,1.1,3.1,.370,0.3,0.8,.320,0.9,2.2,.388,.413,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.2,0.1,0.4,0.4,2.7
Don Ackerman,Career,NBA,28,,7.9,0.5,2.3,0.222,,,,,,,,0.5,1.0,0.536,,,0.5,0.8,,,,1.5,1.5
Mark Acres,Career,NBA,375.0,68.0,16.0,1.4,2.7,0.506,0.0,0.0,0.5379999999999999,1.4,2.7,0.505,0.509,0.8,1.2,0.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6
Bud Acton,Career,NBA,23,,8.5,1.3,3.2,0.392,,,,,,,,0.8,1.3,0.655,,,2.0,0.5,,,,1.5,3.3
Quincy Acy,Career,NBA,337.0,60.0,16.0,1.7,3.9,0.444,0.5,1.6,0.35,1.2,2.3,0.506,0.513,0.9,1.1,0.759,0.9,2.6,3.5,0.6,0.4,0.4,0.6,2.0,4.9
Alvan Adams,Career,NBA,988,342.0,27.5,5.8,11.6,0.498,0.0,0.0,0.133,5.8,11.6,0.498,0.498,2.5,3.2,0.7879999999999999,2.0,5.0,7.0,4.1,1.3,0.8,2.6,3.3,14.1
Don Adams,Career,TOT,523,,25.8,3.5,8.7,.402,0.0,0.1,.000,3.5,8.7,.402,.402,1.8,2.5,.741,1.5,3.3,5.6,1.9,1.1,0.2,2.2,3.3,8.8
George Adams,Career,ABA,215,,18.2,3.3,6.7,0.49700000000000005,0.0,0.1,0.235,3.3,6.6,0.5,0.499,1.0,1.3,0.794,1.5,2.6,4.1,1.5,0.6,0.4,1.4,1.7,7.7
Hassan Adams,Career,NBA,73,8,7.5,1.1,2.0,.534,0.0,0.0,.000,1.1,2.0,.537,.534,0.4,0.6,.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5
