Player,TRB,AST,STL,BLK,PTS
Alaa Abdelnaby,3.3,0.3,0.3,0.3,5.7
Kareem Abdul-Jabbar,11.2,3.6,0.9,2.6,24.6
Mahmoud Abdul-Rauf,1.9,3.5,0.8,0.1,14.6
Tariq Abdul-Wahad,3.3,1.1,0.8,0.4,7.8
Shareef Abdur-Rahim,7.5,2.5,1.0,0.8,18.1
Álex Abrines,1.4,0.5,0.5,0.1,5.3
Alex Acker,1.0,0.5,0.2,0.1,2.7
Mark Acres,4.1,0.5,0.4,0.3,3.6
Quincy Acy,3.5,0.6,0.4,0.4,4.9
Alvan Adams,7.0,4.1,1.3,0.8,14.1
Hassan Adams,1.2,0.2,0.2,0.1,2.5
Jaylen Adams,1.5,1.6,0.3,0.1,2.7
Jordan Adams,0.9,0.6,0.6,0.2,3.2
Michael Adams,2.9,6.4,1.7,0.1,14.7
Steven Adams,7.7,1.2,0.9,1.0,9.6
Rafael Addison,2.1,0.9,0.4,0.2,5.8
Bam Adebayo,8.0,3.3,0.8,0.9,12.0
Deng Adel,1.0,0.3,0.1,0.2,1.7
Jeff Adrien,4.3,0.7,0.3,0.5,4.6
Arron Afflalo,2.9,1.8,0.4,0.2,10.8
Maurice Ager,0.6,0.2,0.1,0.1,2.1
Mark Aguirre,5.0,3.1,0.7,0.3,20.0
Blake Ahearn,1.2,1.2,0.4,0.0,4.6
Danny Ainge,2.7,4.0,1.1,0.1,11.5
Alexis Ajinça,3.9,0.5,0.3,0.6,5.3
DeVaughn Akoon-Purcell,0.6,0.9,0.3,0.0,1.0
Mark Alarie,3.4,1.1,0.4,0.3,7.5
Furkan Aldemir,4.3,0.7,0.4,0.4,2.3
LaMarcus Aldridge,8.3,2.0,0.7,1.1,19.4
Chuck Aleksinas,3.6,0.5,0.2,0.2,5.1
Cory Alexander,1.6,2.7,0.9,0.1,5.5
Courtney Alexander,2.2,1.2,0.6,0.1,9.0
Joe Alexander,1.8,0.7,0.2,0.4,4.2
Ty-Shon Alexander,0.4,0.2,0.0,0.0,0.8
Victor Alexander,4.8,0.9,0.5,0.6,8.9
Nickeil Alexander-Walker,2.4,2.0,0.6,0.3,7.8
Steve Alford,0.9,1.0,0.5,0.1,4.4
Rawle Alkins,2.6,1.3,0.1,0.0,3.7
