Player,index,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,MVP,DPOY,All-NBA,All-Defensive,Sixth Man,ROY,Scoring Champ,AST Champ,TRB Champ,STL Champ,BLK Champ,NBA Champ,Hall of Fame
Alaa Abdelnaby,9,Career,,,NBA,,256.0,53.0,12.5,2.4,4.8,0.502,0.0,0.0,0.0,2.4,4.8,0.503,0.502,0.9,1.3,0.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zaid Abdul-Aziz,14,Career,,,NBA,,505.0,,21.8,3.5,8.2,0.428,,,,,,,,2.0,2.8,0.728,2.4,5.4,8.0,1.2,0.6,1.0,0.9,2.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kareem Abdul-Jabbar,20,Career,,,NBA,,1560.0,625.0,36.8,10.2,18.1,0.5589999999999999,0.0,0.0,0.055999999999999994,10.2,18.1,0.56,0.5589999999999999,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6,19.0,6.0,0.0,15.0,11.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,6.0,1.0
Mahmoud Abdul-Rauf,11,Career,,,NBA,,586,336,26.7,6.0,13.6,.442,0.8,2.3,.354,5.2,11.3,.460,.472,1.8,2.0,.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tariq Abdul-Wahad,10,Career,,,NBA,,236.0,145.0,20.4,3.1,7.3,0.41700000000000004,0.1,0.3,0.237,3.0,7.0,0.425,0.42200000000000004,1.6,2.2,0.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shareef Abdur-Rahim,14,Career,,,NBA,,830.0,704.0,34.8,6.5,13.9,0.47200000000000003,0.2,0.6,0.297,6.4,13.2,0.48,0.479,4.8,6.0,0.81,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Abernethy,7,Career,,,NBA,,319.0,,17.0,2.3,4.6,0.49200000000000005,0.0,0.0,0.0,2.3,4.6,0.493,0.49200000000000005,1.0,1.4,0.747,1.2,2.0,3.2,1.2,0.6,0.2,0.5,1.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest Able,1,Career,,,NBA,,1,,1.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,,1.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Abramovic,4,Career,,,BAA,,56.0,,,3.6,15.3,0.237,,,,,,,,2.3,3.3,0.6859999999999999,,,,0.7,,,,3.1,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Abrines,3,Career,,,NBA,,174,16,16.0,1.8,4.5,0.387,1.3,3.4,0.368,0.5,1.1,0.44299999999999995,0.525,0.5,0.6,0.88,0.3,1.1,1.4,0.5,0.5,0.1,0.4,1.7,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precious Achiuwa,1,Career,,,NBA,,49,2,12.3,2.1,3.8,0.5589999999999999,0.0,0.0,,2.1,3.8,0.5589999999999999,0.5589999999999999,1.0,2.0,0.505,1.3,2.3,3.6,0.5,0.3,0.5,0.8,1.6,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Acker,6,Career,,,NBA,,30,0,7.8,1.1,3.1,.370,0.3,0.8,.320,0.9,2.2,.388,.413,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.2,0.1,0.4,0.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Ackerman,1,Career,,,NBA,,28,,7.9,0.5,2.3,0.222,,,,,,,,0.5,1.0,0.536,,,0.5,0.8,,,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Acres,8,Career,,,NBA,,375.0,68.0,16.0,1.4,2.7,0.506,0.0,0.0,0.5379999999999999,1.4,2.7,0.505,0.509,0.8,1.2,0.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bud Acton,1,Career,,,NBA,,23,,8.5,1.3,3.2,0.392,,,,,,,,0.8,1.3,0.655,,,2.0,0.5,,,,1.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quincy Acy,11,Career,,,NBA,,337.0,60.0,16.0,1.7,3.9,0.444,0.5,1.6,0.35,1.2,2.3,0.506,0.513,0.9,1.1,0.759,0.9,2.6,3.5,0.6,0.4,0.4,0.6,2.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvan Adams,13,Career,,,NBA,,988,342.0,27.5,5.8,11.6,0.498,0.0,0.0,0.133,5.8,11.6,0.498,0.498,2.5,3.2,0.7879999999999999,2.0,5.0,7.0,4.1,1.3,0.8,2.6,3.3,14.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Adams,16,Career,,,TOT,,523,,25.8,3.5,8.7,.402,0.0,0.1,.000,3.5,8.7,.402,.402,1.8,2.5,.741,1.5,3.3,5.6,1.9,1.1,0.2,2.2,3.3,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Adams,3,Career,,,ABA,,215,,18.2,3.3,6.7,0.49700000000000005,0.0,0.1,0.235,3.3,6.6,0.5,0.499,1.0,1.3,0.794,1.5,2.6,4.1,1.5,0.6,0.4,1.4,1.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hassan Adams,3,Career,,,NBA,,73,8,7.5,1.1,2.0,.534,0.0,0.0,.000,1.1,2.0,.537,.534,0.4,0.6,.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Adams,2,Career,,,NBA,,41.0,1.0,10.9,1.0,2.9,0.331,0.6,1.9,0.32899999999999996,0.3,1.0,0.33299999999999996,0.436,0.2,0.2,0.778,0.3,1.3,1.5,1.6,0.3,0.1,0.7,1.1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Adams,2,Career,,,NBA,,32,0,8.2,1.2,2.9,0.402,0.3,0.8,0.385,0.8,2.1,0.409,0.457,0.5,0.9,0.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Adams,11,Career,,,NBA,,653.0,510.0,31.3,5.0,12.0,0.415,1.5,4.4,0.332,3.5,7.6,0.462,0.475,3.3,3.9,0.8490000000000001,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Adams,8,Career,,,NBA,,578.0,514.0,26.9,4.0,6.8,0.591,0.0,0.0,0.077,4.0,6.8,0.5920000000000001,0.591,1.6,2.9,0.5489999999999999,3.5,4.2,7.7,1.2,0.9,1.0,1.4,2.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Addison,11,Career,,,NBA,,379,54,15.0,2.4,5.4,.449,0.2,0.6,.282,2.2,4.8,.472,.466,0.7,0.9,.772,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bam Adebayo,4,Career,,,NBA,,269,165,26.9,4.6,8.2,0.556,0.0,0.2,0.159,4.5,8.0,0.564,0.557,2.9,3.9,0.737,2.1,5.9,8.0,3.4,0.8,0.9,1.9,2.3,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deng Adel,1,Career,,,NBA,,19,3,10.2,0.6,1.9,0.306,0.3,1.2,0.261,0.3,0.7,0.385,0.389,0.2,0.2,1.0,0.2,0.8,1.0,0.3,0.1,0.2,0.3,0.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rick Adelman,10,Career,,,NBA,,462.0,,22.6,3.0,7.2,0.415,,,,,,,,1.8,2.5,0.713,0.4,1.1,2.4,3.5,0.9,0.1,,2.1,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Adrien,7,Career,,,NBA,,153.0,17.0,14.0,1.7,3.6,0.474,0.0,0.0,0.0,1.7,3.6,0.47600000000000003,0.474,1.2,1.9,0.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arron Afflalo,13,Career,,,NBA,,762.0,537.0,27.3,3.9,8.7,0.45,1.1,2.9,0.386,2.8,5.8,0.48100000000000004,0.514,1.8,2.2,0.825,0.4,2.4,2.9,1.8,0.4,0.2,1.1,1.9,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
