Player,index,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eligible,All Star,MVP,DPOY,All-NBA,All-Defensive,Sixth Man,ROY,Scoring Champ,AST Champ,TRB Champ,STL Champ,BLK Champ,NBA Champ,Hall of Fame,hof_prob,3P,3PA,3P%,2P,2PA,2P%,eFG%
Zaid Abdul-Aziz,14,Career,,,NBA,,505.0,,21.8,3.5,8.2,0.428,2.0,2.8,0.728,2.4,5.4,8.0,1.2,0.6,1.0,0.9,2.2,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Kareem Abdul-Jabbar,20,Career,,,NBA,,1560.0,625.0,36.8,10.2,18.1,0.5589999999999999,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6,1,19.0,6.0,0.0,15.0,11.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,6.0,1.0,100,0.0,0.0,0.055999999999999994,10.2,18.1,0.56,0.5589999999999999
Mahmoud Abdul-Rauf,11,Career,,,NBA,,586,336,26.7,6.0,13.6,.442,1.8,2.0,.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,.354,5.2,11.3,.460,.472
Shareef Abdur-Rahim,14,Career,,,NBA,,830.0,704.0,34.8,6.5,13.9,0.47200000000000003,4.8,6.0,0.81,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.297,6.4,13.2,0.48,0.479
Alvan Adams,13,Career,,,NBA,,988,342.0,27.5,5.8,11.6,0.498,2.5,3.2,0.7879999999999999,2.0,5.0,7.0,4.1,1.3,0.8,2.6,3.3,14.1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.133,5.8,11.6,0.498,0.498
Don Adams,16,Career,,,TOT,,523,,25.8,3.5,8.7,.402,1.8,2.5,.741,1.5,3.3,5.6,1.9,1.1,0.2,2.2,3.3,8.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,.000,3.5,8.7,.402,.402
Michael Adams,11,Career,,,NBA,,653.0,510.0,31.3,5.0,12.0,0.415,3.3,3.9,0.8490000000000001,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,4.4,0.332,3.5,7.6,0.462,0.475
Steven Adams,8,Career,,,NBA,,587.0,523.0,26.9,4.0,6.8,0.591,1.6,2.9,0.5479999999999999,3.5,4.3,7.7,1.2,0.9,1.0,1.4,2.6,9.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,4.0,6.7,0.593,0.591
Rick Adelman,10,Career,,,NBA,,462.0,,22.6,3.0,7.2,0.415,1.8,2.5,0.713,0.4,1.1,2.4,3.5,0.9,0.1,,2.1,7.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Arron Afflalo,13,Career,,,NBA,,762.0,537.0,27.3,3.9,8.7,0.45,1.8,2.2,0.825,0.4,2.4,2.9,1.8,0.4,0.2,1.1,1.9,10.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.9,0.386,2.8,5.8,0.48100000000000004,0.514
Mark Aguirre,15,Career,,,NBA,,923.0,639.0,30.0,7.8,16.1,0.484,4.0,5.4,0.741,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.2,0.4,1.4,0.312,7.4,14.7,0.5,0.498
Danny Ainge,16,Career,,,NBA,,1042.0,508.0,26.6,4.5,9.5,0.469,1.6,1.9,0.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,1.0,2.5,0.37799999999999995,3.5,7.0,0.502,0.519
LaMarcus Aldridge,17,Career,,,NBA,,1029.0,985.0,34.2,7.8,16.0,0.491,3.5,4.3,0.8109999999999999,2.6,5.6,8.2,2.0,0.7,1.1,1.6,2.4,19.4,0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.2,0.6,0.321,7.6,15.3,0.498,0.49700000000000005
Lucius Allen,12,Career,,,NBA,,702.0,,28.7,5.5,11.9,0.46299999999999997,2.3,3.1,0.76,1.0,2.3,3.1,4.5,1.5,0.3,2.3,2.6,13.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,
Malik Allen,14,Career,,,NBA,,478.0,125.0,15.2,2.2,4.9,0.439,0.5,0.7,0.778,1.0,1.9,2.8,0.5,0.3,0.5,0.7,1.9,4.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,2.2,4.9,0.441,0.44
Ray Allen,20,Career,,,NBA,,1300.0,1149.0,35.6,6.6,14.6,0.452,3.4,3.8,0.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9,1,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,99.9,2.3,5.7,0.4,4.3,8.9,0.485,0.53
Tony Allen,14,Career,,,NBA,,820.0,441.0,22.0,3.2,6.6,0.475,1.7,2.3,0.7090000000000001,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.282,3.0,6.1,0.49200000000000005,0.48700000000000004
Rafer Alston,16,Career,,,NBA,,671,452,28.9,3.7,9.5,.383,1.3,1.8,.729,0.4,2.5,2.8,4.8,1.2,0.2,1.8,2.1,10.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.2,.354,2.2,5.3,.407,.461
Al-Farouq Aminu,13,Career,,,NBA,,710.0,445.0,24.9,2.7,6.5,0.42,1.3,1.7,0.746,1.4,4.6,6.0,1.2,1.0,0.6,1.2,1.8,7.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,0.33299999999999996,2.0,4.2,0.467,0.478
Lou Amundson,19,Career,,,NBA,,428.0,42.0,12.9,1.5,3.2,0.474,0.6,1.4,0.444,1.5,2.1,3.6,0.4,0.4,0.7,0.7,2.0,3.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.2,0.475,0.474
Chris Andersen,19,Career,,,NBA,,695,45,17.7,1.9,3.6,.532,1.5,2.3,.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,.221,1.9,3.5,.541,.535
Derek Anderson,13,Career,,,NBA,,615.0,390.0,29.2,3.9,9.6,0.408,3.0,3.6,0.853,0.7,2.5,3.2,3.4,1.1,0.1,1.7,2.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,3.1,0.341,2.9,6.6,0.44,0.46299999999999997
Greg Anderson,14,Career,,,NBA,,680,315,20.6,3.0,6.0,.492,1.4,2.5,.557,2.1,4.1,6.2,0.6,0.7,0.9,1.4,2.6,7.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.087,3.0,6.0,.494,.492
Kenny Anderson,23,Career,,,NBA,,858,693,30.1,4.7,11.1,.421,2.6,3.3,.790,0.8,2.3,3.1,6.1,1.5,0.1,2.1,2.3,12.6,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.6,1.8,.346,4.0,9.2,.436,.449
Kyle Anderson,7,Career,,,NBA,,428.0,229.0,20.7,2.5,5.2,0.48200000000000004,1.0,1.4,0.721,0.7,3.5,4.2,2.2,1.0,0.6,0.9,1.5,6.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.32899999999999996,2.1,4.0,0.525,0.518
Nick Anderson,13,Career,,,NBA,,800.0,636.0,31.2,5.5,12.4,0.446,2.1,3.1,0.667,1.3,3.8,5.1,2.6,1.4,0.5,1.7,1.9,14.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.7,0.35600000000000004,4.2,8.7,0.485,0.5
Richard Anderson,10,Career,,,NBA,,407,30,14.7,2.2,5.4,.412,0.7,0.9,.762,1.1,2.4,3.5,1.5,0.6,0.2,0.9,1.7,5.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.1,.333,1.9,4.3,.432,.446
Ron Anderson,19,Career,,,NBA,,664,79,22.8,4.4,9.4,.471,1.6,2.0,.814,1.3,2.2,3.5,1.4,0.7,0.1,1.1,1.5,10.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,.287,4.3,8.8,.482,.479
Ryan Anderson,14,Career,,,NBA,,649.0,289.0,25.8,4.2,10.1,0.42200000000000004,1.8,2.1,0.8540000000000001,1.9,3.3,5.3,0.9,0.5,0.3,0.9,1.9,12.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.4,0.38,2.2,4.7,0.47,0.523
Shandon Anderson,12,Career,,,NBA,,719.0,226.0,22.2,2.8,6.1,0.457,1.4,1.9,0.7390000000000001,0.8,2.3,3.1,1.4,0.8,0.3,1.3,2.0,7.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.316,2.3,4.7,0.498,0.49200000000000005
Willie Anderson,13,Career,,,NBA,,555,432,28.8,5.1,10.7,.471,1.9,2.4,.786,1.0,2.8,3.8,3.8,1.1,0.6,2.1,2.7,12.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,.266,4.9,10.1,.485,.479
Giannis Antetokounmpo,8,Career,,,NBA,,581,516,32.5,7.6,14.3,0.531,5.0,7.0,0.7170000000000001,1.7,7.4,9.1,4.5,1.2,1.3,2.8,3.0,20.8,0,5.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.6,2.2,0.287,7.0,12.1,0.575,0.5529999999999999
Carmelo Anthony,20,Career,,,NBA,,1184.0,1117.0,35.1,8.3,18.5,0.447,5.2,6.4,0.813,1.6,4.7,6.3,2.8,1.0,0.5,2.5,2.8,23.0,0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4,1.3,3.8,0.35200000000000004,6.9,14.7,0.47100000000000003,0.483
Greg Anthony,13,Career,,,NBA,,757.0,227.0,20.9,2.5,6.3,0.40299999999999997,1.4,1.9,0.733,0.4,1.5,1.9,4.0,1.2,0.1,1.4,1.7,7.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,0.349,1.7,4.0,0.434,0.467
Joel Anthony,12,Career,,,NBA,,490.0,110.0,14.4,0.8,1.6,0.513,0.5,0.8,0.662,1.1,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.8,1.6,0.513,0.513
Tiny Archibald,14,Career,,,NBA,,876,268,35.6,6.7,14.4,.467,5.3,6.6,.810,0.5,1.6,2.3,7.4,1.1,0.1,2.7,2.3,18.8,1,6.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,98.4,0.1,0.3,.224,6.7,14.3,.469,.468
Jim Ard,10,Career,,,TOT,,431.0,,13.4,1.7,4.3,0.402,0.9,1.4,0.662,1.3,2.9,4.3,0.6,0.2,0.5,1.3,1.7,4.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1,0.235,1.7,4.3,0.40399999999999997,0.40299999999999997
Gilbert Arenas,14,Career,,,NBA,,552,455,35.1,6.7,16.0,.421,5.2,6.5,.803,0.8,3.1,3.9,5.3,1.6,0.2,3.2,3.0,20.7,1,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,2.0,5.6,.351,4.8,10.5,.458,.482
Trevor Ariza,25,Career,,,NBA,,1087.0,751.0,29.7,3.7,8.9,0.423,1.6,2.1,0.732,1.0,3.8,4.8,2.2,1.5,0.3,1.3,2.0,10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.4,4.1,0.35200000000000004,2.3,4.8,0.484,0.504
Paul Arizin,12,Career,,,NBA,,713,,38.4,7.9,18.7,.421,7.0,8.7,.810,,,8.6,2.3,,,,3.9,22.8,1,10.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,100,,,,,,,
B.J. Armstrong,15,Career,,,NBA,,747.0,341.0,23.8,3.8,8.0,0.47700000000000004,1.6,1.9,0.856,0.3,1.5,1.8,3.3,0.7,0.1,1.2,1.5,9.8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.6,1.4,0.425,3.2,6.6,0.48700000000000004,0.513
Darrell Armstrong,18,Career,,,NBA,,840,337,23.7,3.2,7.7,.409,1.7,2.0,.871,0.8,1.9,2.7,4.0,1.3,0.1,1.9,1.7,9.2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,3.3,.334,2.1,4.5,.465,.480
Carlos Arroyo,19,Career,,,NBA,,569,191,18.7,2.5,5.7,.438,1.4,1.7,.806,0.4,1.3,1.7,3.1,0.5,0.0,1.2,1.5,6.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,.338,2.3,5.0,.452,.459
